ProductID,Category,Subcategory,Brand,ProductFeatures,Price (INR),Festivals,Seasons
P192,Books,Science,Oxford University Press,The Selfish Gene by Richard Dawkins,490,"Christmas, Diwali, Navratri","Spring, Winter, Monsoon"
P193,Clothing,Overalls,Carhartt,"Womens Relaxed Fit Dungaree Overalls, Denim",325,"Diwali, Navratri","Autumn, Winter, Monsoon"
P194,Beauty,BB Cream,Missha,"M Perfect Cover BB Cream, SPF 42, No. 21",931,Eid,"Autumn, Spring, Monsoon"
P195,Home & Kitchen,Trash Cans,Simplehuman,"Slim Plastic Step Trash Can, 10 Gallons",499,Pongal,"Monsoon, Summer"
P196,Sports & Outdoors,Surfing,Billabong,"Mens 3/2mm Wetsuit, Chest Zip",875,"Eid, Diwali","Monsoon, Winter, Autumn"
P197,Groceries,Cracked Pepper,McCormick,"Grinder, Coarse Ground, 2.12oz",595,"Diwali, Christmas, Ganesh Chaturthi","Summer, Winter"
P198,Toys & Games,Stuffed Animals,Jellycat,"Bashful Bunny, Medium, Cream Color",146,"Diwali, Christmas","Monsoon, Spring, Autumn"
P199,Fashion,Loafers,Gucci,"Horsebit Loafer, Leather, Mens Size 10",999,"Diwali, Christmas","Autumn, Winter"
P200,Electronics,Smart Displays,Amazon,"Echo Show 15, 15.6-inch, HD",41965,"Raksha Bandhan, Diwali","Winter, Summer, Monsoon"
P201,Electronics,Smartphones,Google,"Pixel 7 Pro, 6.7-inch OLED, 128GB, 5G",48481,Diwali,"Summer, Winter, Monsoon"
P202,Books,Fiction,Simon & Schuster,"Where the Crawdads Sing, Paperback, 384 Pages",1397,Baisakhi,"Spring, Monsoon"
P203,Clothing,Activewear,Under Armour,"Womens HeatGear Leggings, Moisture-Wicking",864,Eid,"Monsoon, Autumn"
P204,Beauty,Skincare,La Roche-Posay,"Toleriane Double Repair Face Moisturizer, 3.4oz",250,"Eid, Christmas, Onam","Monsoon, Winter, Summer"
P205,Electronics,Laptops,Dell,"XPS 15, 15.6-inch 4K Touchscreen, 1TB SSD",24796,"Baisakhi, Christmas, Eid","Summer, Winter"
P206,Home & Kitchen,Blenders,Ninja,"Professional Blender, 72oz Pitcher, 1500W",292,"Diwali, Christmas","Monsoon, Autumn"
P207,Sports & Outdoors,Camping,REI,"Co-op Half Dome SL 2+ Tent, Lightweight",461,Ganesh Chaturthi,"Monsoon, Winter, Spring"
P208,Groceries,Snacks,Clif Bar,"Energy Bars, Chocolate Chip, 12-Pack",153,Eid,"Winter, Autumn, Monsoon"
P209,Toys & Games,Board Games,Catan,"Catan Board Game, Strategy, 3-4 Players",441,"Onam, Diwali, Navratri","Spring, Monsoon, Autumn"
P210,Fashion,Sunglasses,Oakley,"Holbrook Sunglasses, Polarized, Matte Black",987,"Diwali, Navratri, Holi","Spring, Summer"
P211,Electronics,Headphones,Bose,"QuietComfort 45, Noise-Cancelling, 24-Hour Battery",13995,Diwali,"Winter, Summer"
P212,Books,Non-Fiction,Penguin,"Educated by Tara Westover, Hardcover",1198,Ganesh Chaturthi,"Spring, Monsoon, Winter"
P213,Clothing,Formal Wear,Calvin Klein,"Mens Slim-Fit Dress Shirt, Cotton, White",510,"Raksha Bandhan, Ganesh Chaturthi, Baisakhi","Autumn, Monsoon"
P214,Beauty,Makeup,Charlotte Tilbury,"Pillow Talk Lipstick, Matte, Long-Lasting",481,"Eid, Holi, Pongal","Autumn, Summer"
P215,Home & Kitchen,Cookware,Calphalon,"Nonstick 10-Piece Set, Oven Safe",962,Holi,"Monsoon, Spring"
P216,Sports & Outdoors,Yoga,Gaiam,"Premium Yoga Mat, 6mm Thick, Non-Slip",996,"Baisakhi, Diwali","Autumn, Monsoon"
P217,Groceries,Coffee,Starbucks,"Pike Place Roast, Medium Roast, 20oz Bag",600,"Baisakhi, Diwali","Monsoon, Summer"
P218,Toys & Games,LEGO,LEGO,"Harry Potter Hogwarts Castle, 6,020 Pieces",747,"Pongal, Navratri","Winter, Summer, Spring"
P219,Fashion,Watches,Fossil,"Grant Chronograph Watch, Leather Strap, Black",239,"Baisakhi, Diwali","Autumn, Winter"
P220,Electronics,Tablets,Samsung,"Galaxy Tab S8, 11-inch, 256GB, S Pen Included",15539,Ganesh Chaturthi,"Winter, Summer"
P221,Home & Kitchen,Vacuum Cleaners,Shark,"Navigator Lift-Away, Bagless, HEPA Filter",972,"Baisakhi, Navratri","Spring, Winter, Autumn"
P222,Automotive,Tires,Goodyear,"Eagle Sport All-Season, 225/50R17, 80k Mile Warranty",621,"Ganesh Chaturthi, Raksha Bandhan","Monsoon, Autumn"
P223,Electronics,Smartwatches,Apple,"Apple Watch Series 8, GPS, 45mm, Midnight",27568,"Navratri, Ganesh Chaturthi, Onam","Monsoon, Summer, Winter"
P224,Clothing,Outerwear,Patagonia,"Womens Nano Puff Jacket, Recycled Materials",773,"Diwali, Holi","Winter, Summer, Monsoon"
P225,Beauty,Hair Care,Moroccanoil,"Hydrating Shampoo, 8.5oz, Argan Oil",151,"Baisakhi, Pongal, Navratri","Spring, Winter"
P226,Books,Science Fiction,Tor Books,The Name of the Wind by Patrick Rothfuss,918,"Ganesh Chaturthi, Holi, Diwali","Monsoon, Autumn, Winter"
P227,Home & Kitchen,Air Fryers,Cosori,"5.8qt Air Fryer, 11 Presets, 1700W",553,Navratri,"Summer, Monsoon"
P228,Sports & Outdoors,Running,Brooks,"Ghost 14 Running Shoes, Cushioned, Womens Size 9",867,Eid,"Monsoon, Summer"
P229,Groceries,Tea,Harney & Sons,"Hot Cinnamon Spice Tea, 20 Sachets",242,Ganesh Chaturthi,"Autumn, Spring"
P230,Fashion,Handbags,Michael Kors,"Jet Set Travel Tote, Leather, Large",965,Diwali,"Summer, Monsoon"
P231,Electronics,Gaming Consoles,Microsoft,"Xbox Series X, 1TB SSD, 4K Gaming",4925,"Baisakhi, Raksha Bandhan, Navratri","Winter, Summer, Monsoon"
P232,Books,Biography,Random House,"Steve Jobs by Walter Isaacson, Hardcover",360,Holi,"Monsoon, Autumn"
P233,Clothing,Swimwear,Victoria's Secret,"Womens Bikini Set, Adjustable, Floral Print",636,"Christmas, Raksha Bandhan, Diwali","Monsoon, Winter, Summer"
P234,Beauty,Perfume,Dior,"Sauvage Eau de Parfum, 3.4oz, Woody Spicy",708,Onam,"Spring, Winter"
P235,Home & Kitchen,Mattresses,Tempur-Pedic,"TEMPUR-Cloud, Queen Size, Medium Hybrid",312,"Christmas, Onam","Winter, Spring"
P236,Sports & Outdoors,Camping,MSR,"Hubba Hubba NX 2-Person Tent, Lightweight",208,"Raksha Bandhan, Ganesh Chaturthi","Spring, Monsoon"
P237,Groceries,Pasta,De Cecco,"Spaghetti, 16oz, Bronze Die-Cut",901,"Eid, Onam, Pongal","Winter, Monsoon"
P238,Toys & Games,Puzzles,White Mountain,"1000-Piece Puzzle, Collage, Family Fun",322,"Diwali, Navratri","Autumn, Winter"
P239,Fashion,Sneakers,New Balance,"Fresh Foam 1080v11, Cushioned, Mens Size 10.5",635,"Christmas, Baisakhi","Autumn, Monsoon"
P240,Electronics,Speakers,Bose,"SoundLink Revolve+, 360° Sound, 16-Hour Battery",31350,"Diwali, Ganesh Chaturthi, Eid","Monsoon, Summer, Winter"
P241,Electronics,Monitors,Samsung,"Odyssey G7, 27-inch, 240Hz, QLED",21542,"Baisakhi, Christmas","Winter, Summer, Monsoon"
P242,Books,Cookbooks,Williams Sonoma,"The Cook's Book, Hardcover, Illustrated",917,"Christmas, Navratri","Monsoon, Winter, Autumn"
P243,Clothing,Denim,Wrangler,"Mens Cowboy Cut Jeans, Relaxed Fit, Dark Wash",571,"Eid, Holi","Summer, Autumn"
P244,Beauty,Sunscreen,Supergoop!,"Unseen Sunscreen, SPF 40, 1.7oz",941,Diwali,"Autumn, Summer"
P245,Home & Kitchen,Toasters,Breville,"Smart Toaster, 4-Slice, Lift & Look",284,"Pongal, Christmas, Baisakhi","Autumn, Winter"
P246,Sports & Outdoors,Golf,TaylorMade,"SIM2 Max Driver, 10.5°, Adjustable",745,Baisakhi,"Spring, Winter, Monsoon"
P247,Groceries,Olive Oil,California Olive Ranch,"Extra Virgin Olive Oil, 33.8oz",315,"Ganesh Chaturthi, Christmas","Monsoon, Spring"
P248,Toys & Games,Dolls,Barbie,"Fashionista Doll, Curvy, 11.5-inch",456,"Onam, Christmas","Summer, Spring, Monsoon"
P249,Fashion,Jewelry,Pandora,"Moments Bracelet, Sterling Silver, Adjustable",705,Holi,"Summer, Autumn"
P250,Electronics,Printers,Epson,"EcoTank ET-4760, Wireless, All-in-One",15700,"Navratri, Diwali","Winter, Monsoon, Summer"
P251,Electronics,Drones,Autel,"EVO Lite+, 6K Camera, 40-Min Flight Time",16493,"Baisakhi, Ganesh Chaturthi, Holi","Monsoon, Winter"
P252,Books,Children's,Disney,"Frozen 2 Storybook, Hardcover, Illustrated",1153,"Raksha Bandhan, Ganesh Chaturthi, Eid","Autumn, Monsoon"
P253,Clothing,Workwear,Dickies,"Mens Relaxed Fit Jeans, Double-Knee, Black",165,"Diwali, Raksha Bandhan, Navratri","Winter, Autumn, Monsoon"
P254,Beauty,Makeup Brushes,Sigma,"Essential Kit, 12 Brushes, Travel Case",512,"Christmas, Navratri","Winter, Spring, Summer"
P255,Home & Kitchen,Coffee Makers,Breville,"Barista Express, Espresso Machine, 15-Bar",999,"Pongal, Ganesh Chaturthi, Christmas","Spring, Winter, Summer"
P256,Sports & Outdoors,Cycling,Trek,"Domane SL 5 Road Bike, Carbon Frame, 11-Speed",996,"Eid, Diwali, Christmas","Summer, Autumn"
P257,Groceries,Cereal,General Mills,"Cheerios, Family Size, 18oz",166,"Ganesh Chaturthi, Raksha Bandhan","Monsoon, Summer, Spring"
P258,Toys & Games,Remote Control,DJI,"Mini 3 Pro Drone, 4K Camera, 34-Min Flight Time",292,Holi,"Winter, Monsoon, Summer"
P259,Fashion,Luggage,Travelpro,"Crew Versapack, 21-inch, Expandable",339,Diwali,"Winter, Autumn"
P260,Electronics,Keyboards,Corsair,"K95 RGB Platinum, Mechanical, Cherry MX Brown",46730,"Diwali, Eid","Summer, Monsoon, Winter"
P261,Electronics,Projectors,BenQ,"HT2050A, 1080p, 2200 Lumens",44162,"Ganesh Chaturthi, Eid, Onam","Summer, Winter, Monsoon"
P262,Books,Fantasy,Orbit,"Mistborn by Brandon Sanderson, Paperback",1331,Holi,"Monsoon, Winter, Spring"
P263,Clothing,Winter Hats,Carhartt,"Acrylic Watch Hat, Beanie, Black",433,Navratri,"Monsoon, Autumn, Spring"
P264,Beauty,Lipstick,NARS,"Powermatte Lip Pigment, Starwoman, Long-Lasting",242,Christmas,"Summer, Autumn"
P265,Home & Kitchen,Cookware,Staub,"Cast Iron Dutch Oven, 5.5qt, Ceramic",850,"Eid, Ganesh Chaturthi","Summer, Monsoon, Spring"
P266,Sports & Outdoors,Hiking,Salomon,"X Ultra 4 GTX Hiking Shoes, Waterproof, Womens Size 8",733,Pongal,"Autumn, Summer"
P267,Groceries,Snack Bars,Kind,"Peanut Butter Dark Chocolate, 12-Pack",651,Onam,"Winter, Spring, Autumn"
P268,Toys & Games,STEM Toys,Sphero,"Bolt Robot, Programmable, App-Enabled",989,"Diwali, Onam","Winter, Monsoon, Spring"
P269,Fashion,Belts,Louis Vuitton,"Monogram Belt, Brown, Size 90",689,"Navratri, Holi","Autumn, Winter, Monsoon"
P270,Electronics,External Hard Drives,Western Digital,"My Passport 4TB, USB 3.0, Portable",1383,"Navratri, Baisakhi","Winter, Monsoon"
P271,Electronics,Smart Home,Amazon,"Echo Dot (5th Gen), Smart Speaker, Charcoal",41038,Navratri,"Winter, Summer, Monsoon"
P272,Books,History,Penguin,"The Wright Brothers by David McCullough, Paperback",519,Holi,"Monsoon, Spring, Autumn"
P273,Clothing,Yoga Pants,Athleta,"Salutation Stash Pocket Tight, Womens Size 8",697,"Ganesh Chaturthi, Holi","Spring, Winter"
P274,Beauty,Face Mask,Dr. Jart+,"Cicapair Tiger Grass Calming Mask, 5-Pack",945,"Diwali, Holi, Christmas","Monsoon, Spring"
P275,Home & Kitchen,Microwaves,Toshiba,"1.6cu ft Countertop Microwave, 1100W",221,"Diwali, Holi","Autumn, Monsoon"
P276,Sports & Outdoors,Fitness,Peloton,"Bike+, 24-inch HD Touchscreen, Magnetic Resistance",204,Pongal,"Winter, Spring, Autumn"
P277,Groceries,Honey,Manuka Health,"MGO 400+ Manuka Honey, 8.8oz",196,Navratri,"Monsoon, Winter"
P278,Toys & Games,Action Figures,Funko,"Pop! Marvel: Avengers Endgame, 10-Pack",598,"Raksha Bandhan, Diwali","Winter, Summer"
P279,Fashion,Wallets,Coach,"Mens Slim ID Wallet, Leather, Black",345,"Diwali, Eid, Holi","Autumn, Monsoon, Summer"
P280,Electronics,Earbuds,Samsung,"Galaxy Buds2 Pro, Noise Cancelling, Graphite",30637,"Diwali, Navratri, Holi","Monsoon, Summer, Winter"
P281,Electronics,Gaming Chairs,Razer,"Iskur Gaming Chair, Ergonomic, RGB Lighting",36163,Eid,"Summer, Monsoon, Winter"
P282,Books,Romance,Avon,"The Hating Game by Sally Thorne, Paperback",385,"Navratri, Raksha Bandhan, Diwali","Winter, Monsoon, Autumn"
P283,Clothing,Socks,Stance,"Run Tab Socks, Cushioned, Mens Size 9-11",671,"Christmas, Ganesh Chaturthi, Diwali","Summer, Autumn"
P284,Beauty,Eye Cream,Shiseido,"Benefiance Wrinkle Smoothing Eye Cream, 0.5oz",338,"Pongal, Onam, Diwali","Monsoon, Summer"
P285,Home & Kitchen,Food Storage,Rubbermaid,"Brilliance Food Storage, 10-Piece Set",540,"Holi, Christmas","Summer, Spring, Winter"
P286,Sports & Outdoors,Fishing,Abu Garcia,"Revo SX Spinning Reel, Saltwater Ready",915,Raksha Bandhan,"Autumn, Monsoon, Spring"
P287,Groceries,Nuts,Planters,"Mixed Nuts, 34oz Canister, Lightly Salted",861,"Diwali, Holi","Winter, Autumn"
P288,Toys & Games,Plush Toys,Melissa & Doug,"Hugging Doug Stuffed Animal, 20-inch",183,"Eid, Navratri, Ganesh Chaturthi","Autumn, Summer, Winter"
P289,Fashion,Hats,Brixton,"Fiddler Hat, Wool Felt, Black",481,Eid,"Summer, Monsoon"
P290,Electronics,Tablet Accessories,Samsung,Galaxy Tab S8 Ultra Keyboard Cover,14557,"Navratri, Raksha Bandhan","Winter, Summer, Monsoon"
P291,Electronics,VR Headsets,HTC,"Vive Pro 2, 5K Resolution, 120Hz",1174,Diwali,"Monsoon, Winter, Summer"
P292,Books,Self-Help,HarperCollins,"The Subtle Art of Not Giving a F*ck, Paperback",1180,"Holi, Raksha Bandhan","Monsoon, Spring, Winter"
P293,Clothing,Base Layers,Smartwool,"Mens 250 Base Layer Top, Merino Wool",673,Pongal,"Winter, Monsoon, Spring"
P294,Beauty,Body Lotion,Aveeno,"Daily Moisturizing Lotion, 18oz, Fragrance-Free",336,"Navratri, Diwali","Summer, Monsoon"
P295,Home & Kitchen,Air Purifiers,Honeywell,"HPA300 True HEPA Air Purifier, Large Room",767,"Eid, Navratri, Holi","Summer, Autumn"
P296,Sports & Outdoors,Water Bottles,Klean Kanteen,"Insulated Water Bottle, 32oz, Stainless Steel",597,"Holi, Eid","Monsoon, Winter, Autumn"
P297,Groceries,Crackers,Ritz,"Original Crackers, 13.7oz, Family Size",485,"Diwali, Holi, Ganesh Chaturthi","Monsoon, Spring"
P298,Toys & Games,Model Kits,Tamiya,1/35 Scale Military Miniature Kit,109,"Diwali, Pongal","Spring, Monsoon"
P299,Fashion,Scarves,Gucci,"GG Supreme Shawl, Wool Blend, Beige",168,"Ganesh Chaturthi, Raksha Bandhan, Christmas","Winter, Monsoon, Summer"
P300,Electronics,Chargers,Belkin,"USB-C GaN Charger, 65W, 2 Ports",44272,"Navratri, Diwali, Raksha Bandhan","Monsoon, Winter, Summer"
P301,Electronics,Webcams,Razer,"Kiyo Pro Streaming Webcam, 1080p, HDR",45293,"Raksha Bandhan, Eid","Summer, Monsoon, Winter"
P302,Books,Poetry,Penguin Classics,"The Iliad by Homer, Paperback, Translated",864,"Diwali, Holi","Spring, Winter, Monsoon"
P303,Clothing,Underwear,Tommy John,"Mens Second Skin Boxer Briefs, 3-Pack",851,Eid,"Winter, Autumn, Summer"
P304,Beauty,Nail Polish,OPI,"Infinite Shine, Bubble Bath, 0.5oz",624,"Ganesh Chaturthi, Holi","Monsoon, Spring"
P305,Home & Kitchen,Mixers,Breville,"Handy Mix Scraper, 250W, 5 Attachments",233,Baisakhi,"Spring, Winter"
P306,Sports & Outdoors,Skateboarding,Thrasher,"Logo Skateboard, 8.25-inch Deck",215,"Ganesh Chaturthi, Holi","Monsoon, Summer"
P307,Groceries,Spices,Simply Organic,"Ground Cinnamon, 2.82oz, Non-GMO",377,Diwali,"Monsoon, Summer, Winter"
P308,Toys & Games,Card Games,Exploding Kittens,"Exploding Kittens Card Game, 2-5 Players",909,"Diwali, Holi, Navratri","Monsoon, Autumn"
P309,Fashion,Ties,Hermès,"Silk Tie, Slim Fit, Navy Blue",817,"Holi, Diwali","Monsoon, Spring, Autumn"
P310,Electronics,Power Banks,Anker,"PowerCore 26800mAh, USB-C PD, 30W",43174,"Pongal, Diwali, Navratri","Summer, Monsoon"
P311,Electronics,Smart Lights,LIFX,"Color LED Smart Bulb, Wi-Fi Enabled",45047,"Eid, Baisakhi","Winter, Summer, Monsoon"
P312,Books,Travel Guides,Rick Steves,"Europe Through the Back Door, Paperback",394,Diwali,"Autumn, Winter, Spring"
P313,Clothing,Scrubs,Cherokee,"Womens Infinity Scrubs, V-Neck, Size Small",325,"Eid, Baisakhi","Monsoon, Winter"
P314,Beauty,Shampoo,Paul Mitchell,"Tea Tree Special Shampoo, 10.14oz",193,Pongal,"Autumn, Spring"
P315,Home & Kitchen,Cutlery,Shun,"Classic 8-inch Chef's Knife, Japanese Steel",802,Christmas,"Autumn, Monsoon, Summer"
P316,Sports & Outdoors,Baseball,Rawlings,"Heart of the Hide Glove, 11.5-inch",896,"Holi, Diwali","Winter, Summer, Autumn"
P317,Groceries,Peanut Butter,Justin's,"Classic Peanut Butter, 16oz, No Stir",466,"Raksha Bandhan, Onam, Ganesh Chaturthi","Autumn, Spring, Monsoon"
P318,Toys & Games,Science Kits,Thames & Kosmos,"Chemistry Set, 125 Experiments",659,"Ganesh Chaturthi, Holi","Winter, Summer, Autumn"
P319,Fashion,Briefcases,Filson,"Original Briefcase, Rugged Twill, Tan",239,"Christmas, Diwali, Holi","Autumn, Spring, Winter"
P320,Electronics,Graphic Tablets,XP-Pen,"Artist Pro 16, 15.6-inch, Pen Display",46564,Eid,"Summer, Monsoon"
P321,Electronics,Security Cameras,Arlo,"Pro 5S 2K Security Camera, Wireless",43366,"Navratri, Holi","Winter, Summer, Monsoon"
P322,Books,Art & Photography,Phaidon,"The Art Book, Hardcover, Illustrated",1467,"Diwali, Ganesh Chaturthi","Autumn, Monsoon, Winter"
P323,Clothing,Jackets,Arc'teryx,"Beta AR Jacket, Gore-Tex, Mens Large",830,"Holi, Ganesh Chaturthi, Diwali","Summer, Winter"
P324,Beauty,Face Wash,Cetaphil,"Gentle Skin Cleanser, 16oz, Fragrance-Free",893,"Navratri, Diwali","Monsoon, Winter"
P325,Home & Kitchen,Dehumidifiers,Frigidaire,"70-Pint Dehumidifier, Energy Star",122,Holi,"Autumn, Summer"
P326,Sports & Outdoors,Tennis,Babolat,"Pure Drive Tennis Racket, 100sq in",763,"Diwali, Baisakhi","Autumn, Winter"
P327,Groceries,Trail Mix,Kirkland Signature,"Nuts & Berries, 40oz, Costco",399,Holi,"Autumn, Monsoon, Winter"
P328,Toys & Games,Building Sets,K'NEX,"Thrill Rides Ferris Wheel, 2,300 Pieces",938,Christmas,"Summer, Spring, Winter"
P329,Fashion,Slippers,Minetonka,"Cally Slippers, Womens Size 7, Suede",822,"Holi, Raksha Bandhan, Christmas","Spring, Autumn"
P330,Electronics,Microphones,Shure,"SM7B Vocal Microphone, Cardioid",43339,"Ganesh Chaturthi, Navratri, Eid","Summer, Monsoon, Winter"
P331,Electronics,Routers,Netgear,"Nighthawk AX12, Wi-Fi 6, Dual-Band",40727,Holi,"Winter, Monsoon, Summer"
P332,Books,Business,HarperBusiness,"Good to Great by Jim Collins, Hardcover",474,"Onam, Christmas, Baisakhi","Winter, Spring, Monsoon"
P333,Clothing,Dresses,Anthropologie,"Womens Maxi Dress, Floral Print, Size 6",809,"Diwali, Raksha Bandhan, Onam","Monsoon, Spring, Winter"
P334,Beauty,Serum,Skinceuticals,"C E Ferulic, Vitamin C Serum, 1oz",197,Diwali,"Winter, Summer, Spring"
P335,Home & Kitchen,Blinds,Home Depot,"Cordless Blackout Shades, 36x72",885,"Diwali, Raksha Bandhan","Monsoon, Summer"
P336,Sports & Outdoors,Soccer,Nike,"Mercurial Superfly 8 Elite, FG, Mens Size 10",873,"Ganesh Chaturthi, Christmas","Summer, Autumn"
P337,Groceries,Chips,Doritos,"Cool Ranch, Family Size, 10.5oz",300,"Diwali, Christmas, Holi","Monsoon, Winter"
P338,Toys & Games,Dinosaur Toys,Papo,"T-Rex Dinosaur Figure, Realistic Detailing",835,"Diwali, Christmas, Raksha Bandhan","Monsoon, Summer, Winter"
P339,Fashion,Pajamas,Soma,"Cool Nights Pajama Set, Womens Size Medium",514,Navratri,"Summer, Spring"
P340,Electronics,SSD,Crucial,"MX500 2TB SATA SSD, 560MB/s",15954,Eid,"Winter, Monsoon"
P341,Electronics,Smart Plugs,Wemo,"Mini Smart Plug, Works with Alexa, 2-Pack",39972,Pongal,"Monsoon, Summer, Winter"
P342,Books,Manga,Kodansha,"Attack on Titan, Vol. 1, Paperback",419,Eid,"Autumn, Winter"
P343,Clothing,Skirts,Free People,"Womens Boho Skirt, Tiered, Size 6",121,"Christmas, Eid","Spring, Monsoon, Autumn"
P344,Beauty,Eye Shadow,Anastasia Beverly Hills,"Modern Renaissance Palette, 14 Shades",274,Eid,"Spring, Winter, Summer"
P345,Home & Kitchen,Grills,Traeger,"Pro 575 Pellet Grill, Wi-Fi Enabled",395,Navratri,"Monsoon, Summer"
P346,Sports & Outdoors,Swimming,Arena,"Carbon Flex VX Swim Goggles, Anti-Fog",878,"Holi, Raksha Bandhan, Navratri","Monsoon, Spring"
P347,Groceries,Energy Drinks,Red Bull,"Sugar-Free, 8.4oz Can, 24-Pack",970,Holi,"Monsoon, Summer"
P348,Toys & Games,Puppets,Manhattan Toy,Winkel Rattle & Sensory Teether,351,"Pongal, Eid, Navratri","Autumn, Summer"
P349,Fashion,Backpacks,Fjällräven,"Kånken Backpack, 16L, Vinylon F",677,Onam,"Winter, Spring"
P350,Electronics,Cables,Anker,"USB-C to USB-C Cable, 6ft, 100W",20584,Ganesh Chaturthi,"Winter, Summer, Monsoon"
P351,Electronics,Solar Panels,Renogy,"100W Solar Panel, Foldable, Portable",49076,"Diwali, Onam, Ganesh Chaturthi","Monsoon, Winter, Summer"
P352,Books,Graphic Novels,Image Comics,"Saga, Vol. 1, Paperback",851,"Holi, Diwali","Monsoon, Spring, Winter"
P353,Clothing,Shorts,Lululemon,"Mens Pace Breaker Shorts, 7-inch, Size Medium",945,"Christmas, Ganesh Chaturthi","Winter, Summer, Spring"
P354,Beauty,Deodorant,Native,"Coconut & Vanilla, Aluminum-Free, 2.65oz",204,"Navratri, Pongal, Christmas","Summer, Winter, Monsoon"
P355,Home & Kitchen,Curtains,Pottery Barn,"Blackout Curtains, 84-inch, Linen",973,"Diwali, Holi, Christmas","Summer, Autumn, Monsoon"
P356,Sports & Outdoors,Boxing,Title Boxing,"Pro Style Training Gloves, Womens Medium",261,"Diwali, Ganesh Chaturthi","Summer, Autumn"
P357,Groceries,Water,Fiji,"Natural Artesian Water, 1.5L Bottles, 12-Pack",966,"Christmas, Pongal, Holi","Autumn, Monsoon"
P358,Toys & Games,Magic Kits,Theory11,"Artisan Playing Cards, Gold Edition",339,"Christmas, Diwali, Holi","Winter, Summer, Autumn"
P359,Fashion,Shawls,Coach,"Signature Jacquard Scarf, Hand-Rolled Edges",198,"Eid, Christmas, Diwali","Summer, Monsoon"
P360,Electronics,Calculators,Casio,"FX-9750GIII Graphing Calculator, Black",22294,"Holi, Raksha Bandhan, Ganesh Chaturthi","Summer, Monsoon, Winter"
P361,Electronics,VR Accessories,Valve,"Index VR Headset, 1440x1600 Resolution",36699,"Raksha Bandhan, Navratri, Holi","Monsoon, Winter, Summer"
P362,Books,Religion,HarperOne,"The Bible, NIV, Hardcover, Red Letter",539,"Holi, Diwali","Winter, Spring, Monsoon"
P363,Clothing,T-Shirts,Champion,"Mens Powerblend Fleece Crewneck, Size Large",646,"Onam, Ganesh Chaturthi, Eid","Winter, Spring"
P364,Beauty,Body Wash,Method,"Sea Minerals Body Wash, 18oz, Refillable",560,"Navratri, Onam","Monsoon, Autumn"
P365,Home & Kitchen,Food Processors,KitchenAid,"9-Cup Food Processor, Dicing Kit",447,Diwali,"Summer, Spring"
P366,Sports & Outdoors,Cycling,Specialized,"Allez Elite Road Bike, Aluminum Frame",619,"Ganesh Chaturthi, Navratri","Monsoon, Summer, Autumn"
P367,Groceries,Yogurt,Fage,"Total 2% Greek Yogurt, 35.3oz",329,Ganesh Chaturthi,"Winter, Spring"
P368,Toys & Games,Bubbles,Mr. Bubble,"Bubble Bath, 24oz, Original Scent",738,"Diwali, Pongal","Summer, Spring"
P369,Fashion,Belts,Gucci,"Double G Belt, Black, Size 90",102,"Onam, Ganesh Chaturthi","Monsoon, Winter"
P370,Electronics,Electric Scooters,Segway,"Ninebot MAX, 40mi Range, 18.6mph",46353,"Raksha Bandhan, Onam, Diwali","Summer, Monsoon"
P371,Electronics,Wireless Mice,Logitech,"MX Master 3S, Wireless, Ergonomic",27384,"Ganesh Chaturthi, Eid","Winter, Monsoon, Summer"
P372,Books,Education,Princeton Review,"GRE Prep Book 2023, 6 Practice Tests",1107,"Raksha Bandhan, Onam","Monsoon, Autumn, Spring"
P373,Clothing,Blazers,J.Crew,"Mens Ludlow Slim-Fit Blazer, Italian Wool, Navy",768,"Onam, Navratri, Diwali","Monsoon, Spring, Autumn"
P374,Beauty,Face Oil,Josie Maran,"100% Pure Argan Oil, 1.7oz",704,Baisakhi,"Monsoon, Autumn, Spring"
P375,Home & Kitchen,Bakeware,Nordic Ware,"Natural Aluminum Baking Sheets, 2-Pack",428,"Christmas, Diwali","Winter, Summer"
P376,Sports & Outdoors,Climbing,La Sportiva,"Tarantulace Climbing Shoes, Mens 9",163,"Onam, Pongal, Navratri","Autumn, Winter, Summer"
P377,Groceries,Canned Soup,Progresso,"Chicken Noodle Soup, 19oz, 12-Pack",698,Ganesh Chaturthi,"Spring, Winter, Summer"
P378,Toys & Games,Play Kitchens,Step2,"Grand Walk-In Kitchen, Wooden",397,"Eid, Diwali","Summer, Winter, Spring"
P379,Fashion,Necklaces,Tiffany & Co.,"Return to Tiffany Heart Tag Necklace, Silver",383,"Holi, Christmas","Spring, Winter"
P380,Electronics,USB Hubs,Satechi,"USB-C Hub, 7-in-1, 4K HDMI, SD Card Reader",42553,"Diwali, Holi","Summer, Monsoon, Winter"
P381,Electronics,Electric Toothbrushes,Oral-B,"iO Series 9, Bluetooth, Pressure Sensor",36268,Eid,"Winter, Monsoon"
P382,Books,Thriller,HarperCollins,"The Girl with the Dragon Tattoo, Paperback",520,Navratri,"Spring, Winter, Monsoon"
P383,Clothing,Leggings,Zella,"Live In High Waist Leggings, Womens Size 8",378,"Onam, Holi","Winter, Spring, Monsoon"
P384,Beauty,Mascara,Benefit,"They're Real! Lengthening Mascara, Black",468,"Holi, Raksha Bandhan","Winter, Spring"
P385,Home & Kitchen,Fire Pits,Breeo,"X Series 24 Fire Pit, Smokeless, Stainless Steel",462,Navratri,"Monsoon, Winter"
